referentienummer,identifier
DMG-A-01081,Q241338
DMG-A-01082,Q573560
DMG-A-01084,Q2645104
DMG-A-01086,Q76726
DMG-A-01087,Q158276
DMG-A-01089,Q97965042
DMG-A-01090,Q1427494
DMG-A-01092,Q12013202
DMG-A-01093,Q215293
DMG-A-01099,Q25245512
DMG-A-01100,Q96612
DMG-A-01103,Q1172083
DMG-A-01106,Q1362985
DMG-A-01108,Q1355565
DMG-A-01111,Q2395256
DMG-A-01113,Q2077689
DMG-A-01115,Q76427
DMG-A-01121,Q466241
DMG-A-01123,Q64699
DMG-A-01124,Q61015967
DMG-A-01125,Q2540540
DMG-A-01127,Q3410617
DMG-A-01128,Q84287
DMG-A-01130,Q972677
DMG-A-01132,Q368790
DMG-A-01133,Q2781951
DMG-A-01134,Q3060157
DMG-A-01135,Q4350813
DMG-A-01136,Q1432914
DMG-A-01137,Q37851049
DMG-A-01139,Q97778772
DMG-A-01142,Q2392272
DMG-A-01143,Q2008757
DMG-A-01148,Q21544022
DMG-A-01151,Q7884689
DMG-A-01153,Q2344835
DMG-A-01169,Q728087
DMG-A-01174,Q77378
DMG-A-01175,Q565558
DMG-A-01176,Q52634409
DMG-A-01179,Q16649496
DMG-A-01180,Q700073
DMG-A-01182,Q3758779
DMG-A-01183,Q2858116
DMG-A-01186,Q1187625
DMG-A-01188,Q489469
DMG-A-01189,Q1892722
DMG-A-01190,Q19666554
DMG-A-01196,Q7272548
DMG-A-01205,Q30127814
DMG-A-01206,Q1466539
DMG-A-01212,Q62621
DMG-A-01213,Q2663996
DMG-A-01224,Q1984323
DMG-A-01229,Q5343067
DMG-A-01236,Q10406537
DMG-A-01246,Q77353786
DMG-A-01248,Q64866065
DMG-A-01250,Q55219360
DMG-A-01251,Q2559029
DMG-A-01253,Q14634037
DMG-A-01254,Q18688707
DMG-A-01255,Q11903027
DMG-A-01262,Q3168479
DMG-A-01263,Q4833573
DMG-A-01264,Q2318074
DMG-A-01265,Q5291986
DMG-A-01266,Q52155688
DMG-A-01269,Q4410944
DMG-A-01271,Q13641206
DMG-A-01273,Q55235804
DMG-A-01276,Q6414641
DMG-A-01281,Q6540480
DMG-A-01287,Q510955
DMG-A-01288,Q55235701
DMG-A-01293,Q19705256
DMG-A-01298,Q316413
DMG-A-01301,Q2954774
DMG-A-01302,Q1989338
DMG-A-01304,Q680019
DMG-A-01308,Q4770800
DMG-A-01310,Q776327
DMG-A-01311,Q3171880
DMG-A-01312,Q87648747
DMG-A-01313,Q2719216
DMG-A-01314,Q2439897
DMG-A-01315,Q180374
DMG-A-01316,Q3658963
DMG-A-01317,Q1764852
DMG-A-01318,Q38538044
DMG-A-01321,Q621429
DMG-A-01322,Q1346101
DMG-A-01327,Q3725605
DMG-A-01333,Q3135361
DMG-A-01340,Q55219740
DMG-A-01342,Q15734250
DMG-A-01347,Q1928794
DMG-A-01352,Q1856624
DMG-A-01353,Q442628
DMG-A-01355,Q8201037
DMG-A-01356,Q5950628
DMG-A-01357,Q16582153
DMG-A-01358,Q3442586
DMG-A-01361,Q154083
DMG-A-01368,Q304768
DMG-A-01369,Q47780
DMG-A-01370,Q333585
DMG-A-01371,Q504358
DMG-A-01372,Q12017608
DMG-A-01377,Q5023655
DMG-A-01379,Q147065
DMG-A-01382,Q1221314
DMG-A-01385,Q17035145
DMG-A-01387,Q28214446
DMG-A-01391,Q29161258
DMG-A-01394,Q1673712
DMG-A-01416,Q752663
DMG-A-01418,Q17057894
DMG-A-01422,Q121897
DMG-A-01423,Q1371060
DMG-A-01427,Q652063
DMG-A-01430,Q3057261
DMG-A-01438,Q22236401
DMG-A-01439,Q22101760
DMG-A-01440,Q170416
DMG-A-01441,Q325635
DMG-A-01442,Q52618
DMG-A-01443,Q4409
DMG-A-01444,Q1013594
DMG-A-01450,Q2145216
DMG-A-01451,Q59783155
DMG-A-01457,Q3640624
DMG-A-01462,Q12322324
DMG-A-01463,Q18645728
DMG-A-01464,Q3121341
DMG-A-01465,Q82840
DMG-A-01469,Q1520224
DMG-A-01470,Q3068524
DMG-A-01471,Q654201
DMG-A-01473,Q27121710
DMG-A-01474,Q1494435
DMG-A-01475,Q15852614
DMG-A-01476,Q2192180
DMG-A-01480,Q77353970
DMG-A-01481,Q11940051
DMG-A-01482,Q11917679
DMG-A-01483,Q23418870
DMG-A-01487,Q2703882
DMG-A-01489,Q277553
DMG-A-01490,Q44911
DMG-A-01498,Q631443
DMG-A-01499,Q5278530
DMG-A-01504,Q631220
DMG-A-01506,Q52224902
DMG-A-01509,Q566807
DMG-A-01511,Q1372129
DMG-A-01513,Q3300717
DMG-A-01514,Q2271270
DMG-A-01515,Q374391
DMG-A-01520,Q55219304
DMG-A-01522,Q1237422
DMG-A-01523,Q4385311
DMG-A-01524,Q601610
DMG-A-01525,Q55219724
DMG-A-01526,Q432294
DMG-A-01527,Q573143
DMG-A-01529,Q15638123
DMG-A-01530,Q1409014
DMG-A-01532,Q380404
DMG-A-01536,Q1477785
DMG-A-01537,Q2263497
DMG-A-01538,Q2039767
DMG-A-01539,Q1965216
DMG-A-01544,Q489469
DMG-A-01545,Q790020
DMG-A-01546,Q160435
DMG-A-01547,Q940346
DMG-A-01548,Q2393773
DMG-A-01550,Q446451
DMG-A-01551,Q52157497
DMG-A-01552,Q2026435
DMG-A-01553,Q5560404
DMG-A-01554,Q61130
DMG-A-01555,Q2703990
DMG-A-01556,Q513374
DMG-A-01557,Q61314432
DMG-A-01558,Q61314431
DMG-A-01560,Q3517213
DMG-A-01561,Q924426
DMG-A-01562,Q6774676
DMG-A-01563,Q3298192
DMG-A-01564,Q43266283
DMG-A-01566,Q1129117
DMG-A-01569,Q1486109
DMG-A-01571,Q825539
DMG-A-01572,Q693304
DMG-A-01573,Q476012
DMG-A-01577,Q3351241
DMG-A-01579,Q707025
DMG-A-01581,Q23068131
DMG-A-01582,Q3778828
DMG-A-01589,Q2551765
DMG-A-01596,Q21287763
DMG-A-01597,Q7695756
DMG-A-01599,Q3677243
DMG-A-01600,Q708028
DMG-A-01601,Q14634037
DMG-A-01602,Q1507993
DMG-A-01603,Q1469853
DMG-A-01606,Q1328943
DMG-A-01607,Q3439464
DMG-A-01608,Q1790254
DMG-A-01611,Q81230
DMG-A-01616,Q54078
DMG-A-01640,Q2706817
DMG-A-01647,Q2780365
DMG-A-01650,Q19335619
DMG-A-01653,Q6113656
DMG-A-01654,Q6113656
DMG-A-01659,Q47514867
DMG-A-01670,Q3876195
DMG-A-01674,Q534903
DMG-A-01675,Q98792889
DMG-A-01676,Q4409552
DMG-A-01677,Q2904929
DMG-A-01678,Q11883982
DMG-A-01680,Q312
DMG-A-01681,Q80978
DMG-A-01684,Q12000405
DMG-A-01686,Q614920
DMG-A-01687,Q15454289
DMG-A-01690,Q159694
DMG-A-01691,Q505922
DMG-A-01692,Q505922
DMG-A-01701,Q11851780
DMG-A-01705,Q5359840
DMG-A-01706,Q1432402
DMG-A-01707,Q1115170
DMG-A-01712,Q4777425
DMG-A-01713,Q548860
DMG-A-01717,Q52835939
DMG-A-01720,Q4354496
DMG-A-01722,Q455111
DMG-A-01723,Q11873074
DMG-A-01730,Q1681970
DMG-A-01734,Q1541333
DMG-A-01740,Q5788462
DMG-A-01741,Q327429
DMG-A-01742,Q12321544
DMG-A-01744,Q321453
DMG-A-01745,Q5546836
DMG-A-01747,Q6034037
DMG-A-01748,Q55219571
DMG-A-01750,Q21551104
DMG-A-01751,Q3749300
DMG-A-01752,Q388683
DMG-A-01754,Q320788
DMG-A-01757,Q28758291
DMG-A-01758,Q3611295
DMG-A-01762,Q4356678
DMG-A-01763,Q16018034
DMG-A-01765,Q990804
DMG-A-01766,Q37156
DMG-A-01767,Q827228
DMG-A-01771,Q21208871
DMG-A-01775,Q4026750
DMG-A-01776,Q595544
DMG-A-01779,Q13745166
DMG-A-01780,Q15874769
DMG-A-01781,Q2368598
DMG-A-01787,Q2189769
DMG-A-01788,Q2932754
DMG-A-01789,Q2018183
DMG-A-01790,Q2738000
DMG-A-01791,Q1624295
DMG-A-01792,Q5292407
DMG-A-01793,Q3288106
DMG-A-01794,Q450236
DMG-A-01795,Q55219846
DMG-A-01796,Q3237793
DMG-A-01797,Q679049
DMG-A-01799,Q75989
DMG-A-01800,Q2021873
DMG-A-01801,Q123419
DMG-A-01802,Q21545139
DMG-A-01803,Q21544711
DMG-A-01804,Q738017
DMG-A-01805,Q29422023
DMG-A-01806,Q4015585
DMG-A-01810,Q318816
DMG-A-01811,Q123454
DMG-A-01812,Q700528
DMG-A-01814,Q5239259
DMG-A-01815,Q60229
DMG-A-01819,Q1534581
DMG-A-01821,Q22236065
DMG-A-01827,Q61927379
DMG-A-01828,Q66112
DMG-A-01829,Q2738000
DMG-A-01830,Q2611341
DMG-A-01831,Q671883
DMG-A-01832,Q2871142
DMG-A-01833,Q18545999
DMG-A-01836,Q11885212
DMG-A-01840,Q19629827
DMG-A-01841,Q38619016
DMG-A-01843,Q29422170
DMG-A-01845,Q232364
DMG-A-01847,Q1855386
DMG-A-01850,Q2180083
DMG-A-01855,Q21545531
DMG-A-01858,Q52634409
DMG-A-01860,Q1203426
