url;referentienummer;identifier
https://nl.wikipedia.org/wiki/Jo_Crepain;DMG-A-00974;Q662885
https://nl.wikipedia.org/wiki/Charles_Vandenhove;DMG-A-00975;Q1066309
https://nl.wikipedia.org/wiki/Jozef_Mees;DMG-A-00976;Q22236129
https://nl.wikipedia.org/wiki/F%C3%A9lix_Bracquemond;DMG-A-00980;Q633574
https://nl.wikipedia.org/wiki/Christofle;DMG-A-00983;Q877056
https://nl.wikipedia.org/wiki/Wolfers_Fr%C3%A8res;DMG-A-00985;Q2304465
https://nl.wikipedia.org/wiki/Olivetti;DMG-A-00987;Q673267
https://nl.wikipedia.org/wiki/Jaap_Gidding;DMG-A-00993;Q3001739
https://nl.wikipedia.org/wiki/Aldo_Rossi;DMG-A-00999;Q322953
https://nl.wikipedia.org/wiki/Gustavsberg_(porseleinfabriek);DMG-A-01001;Q1556819
https://nl.wikipedia.org/wiki/Oscar_Jespers;DMG-A-01004;Q2246222
https://nl.wikipedia.org/wiki/Eug%C3%A8ne-Fran%C3%A7ois_de_Block;DMG-A-01008;Q18603392
https://nl.wikipedia.org/wiki/Gaston_Eysselinck;DMG-A-01012;Q1821494
https://nl.wikipedia.org/wiki/Jan_Snoeck;DMG-A-01020;Q2695107
https://nl.wikipedia.org/wiki/Ernst_Fuchs_(kunstschilder);DMG-A-01022;Q112856
https://nl.wikipedia.org/wiki/Richard_Meier;DMG-A-01029;Q159612
https://nl.wikipedia.org/wiki/Grete_Jalk;DMG-A-01030;Q4956242
https://nl.wikipedia.org/wiki/Klein_Begijnhof_Gent;DMG-A-01032;Q2350368
https://nl.wikipedia.org/wiki/Mart_Stam;DMG-A-01033;Q708333
https://nl.wikipedia.org/wiki/Adolphe_Crespin;DMG-A-01035;Q2824800
https://nl.wikipedia.org/wiki/Herm%C3%A8s;DMG-A-01042;Q843887
https://nl.wikipedia.org/wiki/Jean_Nouvel;DMG-A-01043;Q214317
https://nl.wikipedia.org/wiki/Jasper_Morrison;DMG-A-01044;Q1374775
https://nl.wikipedia.org/wiki/Iittala;DMG-A-01052;Q1658018
https://nl.wikipedia.org/wiki/Gi%C3%B2_Ponti;DMG-A-01053;Q435810
https://nl.wikipedia.org/wiki/Jean_Prouv%C3%A9;DMG-A-01060;Q381924
https://nl.wikipedia.org/wiki/Jules_Lippens;DMG-A-01061;Q13739850
https://nl.wikipedia.org/wiki/George_Minne;DMG-A-01072;Q559281
https://nl.wikipedia.org/wiki/Aprilia_(motorfietsmerk);DMG-A-01075;Q622062
https://nl.wikipedia.org/wiki/Paul_Haesaerts;DMG-A-01077;Q2154721
https://nl.wikipedia.org/wiki/BOb_Van_Reeth;DMG-A-01078;Q2350770
https://nl.wikipedia.org/wiki/Wiener_Werkst%C3%A4tte;DMG-A-01081;Q241338
https://nl.wikipedia.org/wiki/Omer_Coppens;DMG-A-01084;Q2645104
https://nl.wikipedia.org/wiki/Peter_Behrens;DMG-A-01086;Q76726
https://nl.wikipedia.org/wiki/AEG;DMG-A-01087;Q158276
https://nl.wikipedia.org/wiki/Barbara_Nanning;DMG-A-01092;Q12013202
https://nl.wikipedia.org/wiki/Volvo_Car_Corporation;DMG-A-01093;Q215293
https://nl.wikipedia.org/wiki/Konstantin_Grcic;DMG-A-01100;Q96612
https://nl.wikipedia.org/wiki/Marc_Newson;DMG-A-01108;Q1355565
https://nl.wikipedia.org/wiki/Dieter_Rams;DMG-A-01115;Q76427
https://nl.wikipedia.org/wiki/Ann_Demeulemeester;DMG-A-01121;Q466241
https://nl.wikipedia.org/wiki/Richard_Sapper;DMG-A-01123;Q64699
https://nl.wikipedia.org/wiki/Raymond_Ruys;DMG-A-01125;Q2540540
https://nl.wikipedia.org/wiki/Otto_Wagner;DMG-A-01128;Q84287
